epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,1279.69,1.54966,2.01297,2.2533,0.73778,0.72399,0.84205,0.61062,1.17641,2.26732,2.05599,0.000247625,0.000247625,0.000247625
83,1294.44,1.47997,2.03916,2.17025,0.73238,0.77437,0.82121,0.58774,1.17756,2.23719,2.03994,0.00023525,0.00023525,0.00023525
84,1309.2,1.59337,2.27869,2.25259,0.76072,0.70144,0.8323,0.61394,1.17997,2.19736,2.03465,0.000222875,0.000222875,0.000222875
85,1323.81,1.66343,2.06967,2.29444,0.76072,0.70144,0.8323,0.61394,1.17997,2.19736,2.03465,0.0002105,0.0002105,0.0002105
86,1338.39,1.57086,2.04441,2.21087,0.78356,0.73959,0.87946,0.63546,1.1789,2.17163,2.04332,0.000198125,0.000198125,0.000198125
87,1398.23,1.47133,1.98209,2.12718,0.79769,0.74766,0.89125,0.59963,1.1944,2.12907,2.06652,0.00018575,0.00018575,0.00018575
88,1412.54,1.63492,2.05177,2.30642,0.80959,0.82714,0.89125,0.60537,1.20388,2.07166,2.08025,0.000173375,0.000173375,0.000173375
89,1426.89,1.5408,2.019,2.15383,0.80959,0.82714,0.89125,0.60537,1.20388,2.07166,2.08025,0.000161,0.000161,0.000161
90,1441.65,1.54922,1.95355,2.27746,0.78093,0.875,0.87875,0.6014,1.22002,2.07804,2.1059,0.000148625,0.000148625,0.000148625
91,1456.29,1.48947,2.56363,2.1839,0.7984,0.8089,0.8595,0.5543,1.23,2.06543,2.11526,0.00013625,0.00013625,0.00013625
92,1470.86,1.46222,2.46493,2.18111,0.80806,0.80453,0.8595,0.55186,1.21591,2.06583,2.10332,0.000123875,0.000123875,0.000123875
93,1485.13,1.33011,2.46915,2.03153,0.80806,0.80453,0.8595,0.55186,1.21591,2.06583,2.10332,0.0001115,0.0001115,0.0001115
94,1499.95,1.39769,2.48205,2.08499,0.81338,0.82715,0.8595,0.56952,1.1943,2.07325,2.08804,9.9125e-05,9.9125e-05,9.9125e-05
95,1514.32,1.34057,2.41635,1.97777,0.81854,0.85881,0.87875,0.63304,1.17703,2.06763,2.0686,8.675e-05,8.675e-05,8.675e-05
96,1808.31,1.36357,2.29569,2.10077,0.8341,0.82535,0.87875,0.63107,1.17317,2.06805,2.0537,7.4375e-05,7.4375e-05,7.4375e-05
97,1822.69,1.28473,2.22502,1.99349,0.8341,0.82535,0.87875,0.63107,1.17317,2.06805,2.0537,6.2e-05,6.2e-05,6.2e-05
98,1836.92,1.24898,2.1664,1.99978,0.85532,0.82185,0.87875,0.63874,1.18605,2.07213,2.05254,4.9625e-05,4.9625e-05,4.9625e-05
99,1851.46,1.24905,2.21223,1.99611,0.85971,0.81946,0.87875,0.63135,1.19904,2.06676,2.05397,3.725e-05,3.725e-05,3.725e-05
100,1866.12,1.3002,2.28194,2.04334,0.86443,0.82059,0.89938,0.6404,1.20373,2.05706,2.0548,2.4875e-05,2.4875e-05,2.4875e-05
